"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.dembitskyi.com/uk","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/cases","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/package-service/anti-age-kompleks","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/package-service/mommy-makeover","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/package-service/plaskij-zhivit","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/blog","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/cases/likuvannya-varikoznoyi-hvorobi-nizhnoyi-kinczivki","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/package-service/vidkritij-poglyad","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/about","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/package-service/legkist-i-krasa-nig","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
