"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"JavaScript","https://www.dembitskyi.com/uk","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/cases","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/package-service/anti-age-kompleks","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/package-service/mommy-makeover","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/package-service/plaskij-zhivit","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/blog","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/cases/likuvannya-varikoznoyi-hvorobi-nizhnoyi-kinczivki","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/package-service/vidkritij-poglyad","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/about","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/package-service/legkist-i-krasa-nig","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/contacts","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services/botuinoterapiya","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services/pidtyazhka-verhnih-i-nizhnih-kinczivok","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services/blefaroplastika","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services/fileri-na-osnovi-negialuronovih-spoluk","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services/minifleboktomiya","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services/skleroobliteracziya","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services/mamoplastika","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services/pidtyazhka-oblichchya","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services/fileri","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services/likuvannya-varikozu-lazerom","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services/liposakcziya","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"JavaScript","https://www.dembitskyi.com/uk/services/abdominoplastika","https://www.dembitskyi.com/_next/static/chunks/fd7c8321135e1068.js","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/script[11]","Head","HTML"
"CSS","https://www.dembitskyi.com/uk","https://www.dembitskyi.com/_next/static/chunks/be8d9b825eb8e702.css","0","","","0","Blocked by robots.txt","true","","","Root-Relative","//head/link[2]","Head","HTML"
